rank,layer,head,head_label,mean_recovery,median_recovery,max_recovery,min_recovery,mean_patched_ld,valid_pairs,total_pairs
106,10,10,L10H10,-0.001271857250856695,-0.0009484837697135424,0.006201412755380264,-0.006132841328413284,-0.064154052734375,20,20
107,6,8,L6H8,-0.00134002254387855,0.000385121662031889,0.003065255702461392,-0.00851448240772949,-0.06424789428710938,20,20
108,10,8,L10H8,-0.0013488674553096718,-0.0014320427937521878,0.0011776595478121424,-0.0033831541161708414,-0.06399345397949219,20,20
109,11,4,L11H4,-0.0013975813828784307,-0.001245150147190994,0.0025176796102322624,-0.007717649227083189,-0.06396865844726562,20,20
110,3,3,L3H3,-0.0014228855289973026,0.00031567542410443686,0.00508273065680925,-0.014858876411632967,-0.06333389282226562,20,20
111,3,2,L3H2,-0.001443496466377085,-0.0011559198623223538,0.00413517960366342,-0.008127568275210008,-0.06403694152832032,20,20
112,2,9,L2H9,-0.0014563298709919623,-0.00016392475301690626,0.009229175888882392,-0.02177469468504686,-0.06385383605957032,20,20
113,1,8,L1H8,-0.0015391219085195073,-0.001399384607168071,0.0014750344310523271,-0.0071187118922505024,-0.06398162841796876,20,20
114,2,11,L2H11,-0.001663116443894211,-0.0017620411182341141,0.0035001838864722966,-0.007107800314490383,-0.06430778503417969,20,20
115,5,10,L5H10,-0.0016965431127184954,-8.640323564630182e-05,0.011705325098601194,-0.019686124497824253,-0.06395187377929687,20,20
116,4,4,L4H4,-0.001749358683188548,-0.001025878874688848,0.0030634299138606108,-0.008813868844558863,-0.06447944641113282,20,20
117,9,8,L9H8,-0.0019033245428500037,-0.0019519940709440122,0.0043549843326783156,-0.006413307774447118,-0.06468276977539063,20,20
118,3,8,L3H8,-0.0019043267613253032,-0.0007138554785001047,0.00715322413435621,-0.012547848599882463,-0.06415519714355469,20,20
119,1,11,L1H11,-0.00195859232918413,-0.002382837974800602,0.0012153484729835553,-0.004886079983004939,-0.06465530395507812,20,20
120,5,7,L5H7,-0.0020625299413767504,-0.00020463336641883098,0.04734125524710538,-0.028446804475630572,-0.06425895690917968,20,20
121,11,0,L11H0,-0.002101125789905837,-0.0025792527474086256,0.012565723086727919,-0.012897737525456062,-0.06524124145507812,20,20
122,3,4,L3H4,-0.002174058242484432,-0.0016939931196166373,0.00557650432842955,-0.009883198562443846,-0.06492691040039063,20,20
123,0,3,L0H3,-0.0023370403919774864,-0.00013963834151425577,0.0010970095882274506,-0.03837520449443902,-0.06409988403320313,20,20
124,7,0,L7H0,-0.0026799349988128767,-0.0019459940350728703,0.00027093823929793956,-0.009480037781924574,-0.06509056091308593,20,20
125,2,6,L2H6,-0.003634174772415919,-0.002847848108162344,0.0021543713256210887,-0.013095371078477707,-0.06638832092285156,20,20
126,2,8,L2H8,-0.0036900257282170856,-0.0032922294266877366,0.002895670688431512,-0.012356393445440251,-0.06591949462890626,20,20
127,4,0,L4H0,-0.003925636209751575,-0.003144706038028335,0.0030870596908332756,-0.012895002389930426,-0.06619682312011718,20,20
128,11,5,L11H5,-0.004657439005664841,-0.0055012122728722865,0.008211693324226877,-0.01445728127021166,-0.06765861511230468,20,20
129,6,11,L6H11,-0.004771649252777007,-0.0029324092383961496,0.01339442646399263,-0.06769645448890732,-0.06620216369628906,20,20
130,9,0,L9H0,-0.004833621413710773,-0.004540699662666073,0.00987150367699614,-0.023371806390674314,-0.0679351806640625,20,20
131,4,3,L4H3,-0.0048363506733129545,-0.006508460823223344,0.010284960622931277,-0.01302107258893,-0.0681884765625,20,20
132,10,3,L10H3,-0.005404063495722581,-0.0049416915177981375,0.002109167606094767,-0.01534331866770438,-0.06771965026855468,20,20
133,3,10,L3H10,-0.006152242490897964,-0.003810623060368304,0.009650869339150063,-0.02216793244463328,-0.06865921020507812,20,20
134,8,8,L8H8,-0.0076795302293539165,-0.011762624563736189,0.03652379630731004,-0.04673252761467541,-0.06670989990234374,20,20
135,4,7,L4H7,-0.009587035131857232,-0.01113514543948093,-0.0005638590193618069,-0.013924293791177126,-0.07245826721191406,20,20
136,7,3,L7H3,-0.011630637034149795,-0.010605759268700402,-0.004288064765066469,-0.02783247859647645,-0.07491569519042969,20,20
137,3,1,L3H1,-0.012934135351318734,-0.014122648519592777,0.009067505358071349,-0.022346015732774508,-0.07646560668945312,20,20
138,10,7,L10H7,-0.02191356274123438,-0.02261625570074434,-0.004264680188694229,-0.0524297626002443,-0.08627586364746094,20,20
139,6,6,L6H6,-0.02466440133850459,-0.023478140936027736,0.04159638821604758,-0.08110709160744821,-0.09011497497558593,20,20
140,9,5,L9H5,-0.04413190208182127,-0.04310931907010899,-0.022527799530148787,-0.07501106665887128,-0.10764083862304688,20,20
141,6,5,L6H5,-0.04785060772611495,-0.04223113317000248,-0.01921840155684922,-0.12487862722015519,-0.11063499450683593,20,20
142,8,10,L8H10,-0.06054450404241722,-0.0617301353343786,-0.03817090575462562,-0.10002589180566111,-0.12490577697753906,20,20
143,7,6,L7H6,-0.0965853996860711,-0.08701032253117472,-0.06046989451177242,-0.14821145011333745,-0.1654510498046875,20,20
144,9,7,L9H7,-0.10544942261060253,-0.11086635943556507,-0.05361172993200251,-0.17475595244363476,-0.17226333618164064,20,20
